id,OR_589nm
0,0.0016357823333333326
1,0.8468266666666663
2,1.3069000000000035
3,-1.3405500000000004
4,1.6299480000000035
5,-1.3031666666666648
6,0.8039333333333332
7,-4.240583333333329
8,0.26216666666666316
9,-2.026033333333332
10,3.2472699999999954
11,1.204666666666668
12,-0.3133999999999979
13,-2.3664333333333425
14,-1.2012666666666643
15,-1.5997899999999987
16,-0.580545
17,-4.807226666666668
18,-4.031549999999999
19,-1.6706666666666667
20,1.4675733333333338
21,-1.3343999999999998
22,-1.5999933333333336
23,1.5487266666666664
24,-1.4957833333333337
25,5.105833333333332
26,0.24312199999999962
27,1.6513889999999947
28,-2.884943333333325
29,3.016299999999994
30,-3.752200000000002
31,-4.713900000000002
32,-0.14026666666667134
33,7.493533333333336
34,-0.28443333333333004
35,0.5085333333333324
36,-7.730433333333347
37,1.0529966666666652
38,1.9190133333333392
39,-1.9194556666666667
40,1.3036666666666623
42,2.2318633333333318
43,0.21835666666666498
44,2.3618666666666663
45,-1.8195800000000009
46,-2.1097999999999977
47,-1.8943299999999965
48,2.2107466666666653
49,1.9400000000000002
50,1.7544533333333352
51,1.8838333333333341
52,2.3600366666666637
53,0.46700000000000347
54,-2.8008999999999937
55,-5.48371666666668
56,-6.266399999999995
57,-3.439333333333328
58,-1.7893333333333317
59,-0.09966666666667834
60,-7.760733333333339
61,0.7683333333333356
62,-3.583566666666684
63,-4.746466666666663
64,2.0939099999999997
65,-11.351799999999999
66,1.8063333333333276
67,-3.628633333333331
68,-8.330273333333338
69,-0.7664999999999935
70,0.8521433333333354
71,0.3904666666666685
72,5.862266666666666
73,-2.8216999999999977
74,7.20377666666667
75,6.312133333333331
76,-4.281033333333331
77,-0.6855800000000016
78,0.686920000000003
79,-3.9468899999999985
80,-5.139666666666666
81,-3.0313666666666665
82,4.948300000000001
83,0.22951333333333915
84,-9.881899999999993
85,5.3784333333333265
86,1.8127200000000034
87,3.917999999999997
88,-7.195933333333339
89,5.5341999999999985
90,-4.923833333333334
91,0.8943929999999986
92,2.6262966666666707
93,-0.5089333333333267
94,0.43786666666666935
95,4.39679
96,16.114133333333342
97,1.9525666666666741
98,3.0264666666666735
99,0.7864666666666645
101,0.657099999999995
102,0.3463306666666881
103,-3.452299999999989
104,2.886033333333321
105,2.9023666666666657
106,-0.9437566666666678
107,-8.594733333333338
108,3.473000000000013
109,-2.881219999999985
110,2.842666666666664
111,-1.6893666666666671
112,2.6488000000000036
113,2.8743333333333325
114,-6.028073333333332
115,-3.4740000000000086
116,-0.6836666666666625
117,-1.2871906666666746
118,2.5660000000000025
119,8.43803333333335
120,0.117999999999995
121,0.7868666666666684
122,-3.3876000000000013
123,-4.227766666666658
126,-2.7439333333333358
127,-0.08726666666666934
128,-0.8386999999999981
130,-3.814263333333336
131,1.7437333333333338
132,-14.534033333333332
133,1.1321333333333332
134,2.8833933333333306
135,-1.8498300000000019
136,-9.749
137,0.4955566666666667
138,-0.0018333333333326134
139,-0.23464666666666703
140,0.21763600000000002
141,17.604866666666663
142,10.271566666666663
143,-0.4139000000000003
144,-1.4555466666666668
145,1.4455366666666667
146,0.05288833333333302
147,0.48334333333333274
148,0.22114000000000011
150,0.6850599999999982
151,0.07106666666666683
152,-1.2925000000000182
153,3.226666666666669
154,0.915333333333327
155,-2.7532666666666614
156,3.700800000000001
157,-8.211333333333338
158,2.740966666666665
159,-5.132499999999998
160,-3.5913333333333433
161,3.287299999999997
162,-2.558033333333327
